OBJECTID,BG20,CT20,LABEL,ShapeSTArea,ShapeSTLength
19767,1011101,101110,BG 1,4814334.33909654,8706.02802216172
19768,1011102,101110,BG 2,3814444.99718118,8807.80853539951
19769,1011103,101110,BG 3,3666841.71383194,8335.11555262954
19770,1011221,101122,BG 1,17113445.8396757,19507.4718135895
19771,1011222,101122,BG 2,11344297.3371419,19207.9915270106
19772,1012201,101220,BG 1,3574577.44128664,8292.30060450655
19773,1012202,101220,BG 2,3947515.39088552,9085.94528431545
19774,1012211,101221,BG 1,1634203.57331104,5631.24898877786
19775,1012212,101221,BG 2,2177796.06740653,6160.13448260527
19776,1012221,101222,BG 1,3191370.66678227,9980.60030638782
19777,1013001,101300,BG 1,14858601.9367312,25513.9048436674
19778,1013002,101300,BG 2,6748831.02735061,14997.2138313287
19779,1013003,101300,BG 3,3240104.06212723,9052.42313368437
19780,1013004,101300,BG 4,2926229.17050712,8282.85544292509
19781,1014001,101400,BG 1,2474752.7141763,11062.9745953706
19782,1014002,101400,BG 2,56744494.0637443,50093.1755905849
19783,1014003,101400,BG 3,8696076.47703731,17531.2400733422
19784,1021031,102103,BG 1,12770233.4525234,16349.9346511139
19785,1021041,102104,BG 1,8003291.29854201,15839.7236753203
19786,1021042,102104,BG 2,9847912.09448346,16971.7264907797
19787,1021051,102105,BG 1,2865285.63572076,7641.45002319172
19788,1021052,102105,BG 2,2438368.6609427,7105.7818738463
19789,1021071,102107,BG 1,89493818.892711,44314.4359243102
19790,1021072,102107,BG 2,49589522.0351047,54460.7018947314
19791,1031011,103101,BG 1,18939100.4597673,28765.3286570853
19792,1031012,103101,BG 2,2907586.44256243,7548.34445282885
19793,1031021,103102,BG 1,2867221.14406429,8782.75863610876
19794,1031022,103102,BG 2,2424518.82146242,6562.57133489684
19795,1031023,103102,BG 3,2829427.12300449,7895.79157882246
19796,1031024,103102,BG 4,1754657.2019342,5301.6021305322
19797,1031025,103102,BG 5,3481265.59896947,7927.88171489596
19798,1032011,103201,BG 1,5518064.60889746,13192.4196248561
19799,1032012,103201,BG 2,15521279.8904706,19568.9525884803
19800,1032021,103202,BG 1,50999128.4634324,45719.3681155879
19801,1033001,103300,BG 1,30894210.7319695,24776.8779471595
19802,1033002,103300,BG 2,35211555.4772605,27716.4773030429
19803,1034011,103401,BG 1,15085817.8182179,20468.6001192107
19804,1034021,103402,BG 1,3675346.81628861,8948.20726363448
19805,1034022,103402,BG 2,2585214.19818432,6927.44481160562
19806,1034023,103402,BG 3,2815093.72655643,6915.55378328721
19807,1034024,103402,BG 4,2754113.13164843,8807.84460870087
19808,1041031,104103,BG 1,4737400.74999594,9785.72036639165
19809,1041032,104103,BG 2,5477765.37083831,10840.2738163385
19810,1041051,104105,BG 1,2481274.00494334,6357.86804270702
19811,1041052,104105,BG 2,1518546.51777241,5529.1286959181
19812,1041053,104105,BG 3,2293081.31142333,6570.47739041089
19813,1041081,104108,BG 1,4539820.84100935,9171.96444576653
19814,1041082,104108,BG 2,4552796.23935083,10731.6105050176
19815,1041083,104108,BG 3,2710407.84327617,6808.44688322047
19816,1041241,104124,BG 1,5533723.74039599,14140.573449794
19817,1041242,104124,BG 2,10998764.1165614,16854.994365822
19818,1041243,104124,BG 3,31689190.9927742,34116.4157454009
19819,1042011,104201,BG 1,4456471.69391857,9529.34450247318
19820,1042012,104201,BG 2,3637164.75447121,8151.41555072635
19821,1042013,104201,BG 3,3638950.68029841,8156.13889024593
19822,1042031,104203,BG 1,3810066.84047308,8166.97329167835
19823,1042032,104203,BG 2,3809969.15037658,8166.79975764878
19824,1042041,104204,BG 1,3806834.15790109,8409.99488065996
19825,1042042,104204,BG 2,24869013.1265407,27568.5904839997
19826,1043101,104310,BG 1,3258973.24921863,7580.95823094328
19827,1043102,104310,BG 2,6968232.51498901,10528.3394133459
19828,1043103,104310,BG 3,6010034.28372858,10729.1040516388
19829,1043211,104321,BG 1,1904518.12607754,5525.90843006129
19830,1043212,104321,BG 2,1785027.07889738,5359.8788428402
19831,1043213,104321,BG 3,1905655.61089425,5527.0981409074
19832,1043221,104322,BG 1,2283951.50973918,6093.60830011067
19833,1043222,104322,BG 2,5167351.02991744,11955.7251706118
19834,1044011,104401,BG 1,4472389.83326361,12432.5004234494
19835,1044012,104401,BG 2,2858442.16534433,6847.66165277185
19836,1044031,104403,BG 1,3226015.51656489,8016.95972713397
19837,1044032,104403,BG 2,4233595.38161222,10270.0048202306
19838,1044041,104404,BG 1,2949594.67574724,6973.63863138109
19839,1044042,104404,BG 2,2858323.89316536,6848.20878495583
19840,1045001,104500,BG 1,1905122.94992636,5526.58379051949
19841,1045002,104500,BG 2,3810067.55037838,8414.64359949324
19842,1046101,104610,BG 1,4247680.52959885,8706.05510551488
19843,1046102,104610,BG 2,2125474.69640781,5834.34772913572
19844,1046201,104620,BG 1,1906206.88037597,5527.7417337329
19845,1046202,104620,BG 2,3810785.85914451,8413.26822916425
19846,1047011,104701,BG 1,2628084.03448429,6528.54253323404
19847,1047012,104701,BG 2,1775631.54900749,5346.87056654443
19848,1047013,104701,BG 3,1521329.32894237,4994.96129178019
19849,1047031,104703,BG 1,9402931.57247685,15150.5456849644
19850,1047032,104703,BG 2,3170813.92452845,10012.12566081
19851,1047041,104704,BG 1,7338186.95202008,11847.2063970416
19852,1047042,104704,BG 2,1124783.98997792,5484.33372918834
19853,1047043,104704,BG 3,9437211.49185308,19110.8915441756
19854,1048211,104821,BG 1,3814972.64182709,8417.00896386166
19855,1048212,104821,BG 2,1908823.50560144,5531.55916505152
19856,1048221,104822,BG 1,6504668.81323539,13769.4332727787
19857,1048231,104823,BG 1,3813066.1763373,8415.09678591092
19858,1048232,104823,BG 2,1905701.18942114,5527.80084365544
19859,1048241,104824,BG 1,2120122.15708702,5825.89246947124
19860,1048242,104824,BG 2,4251873.42013565,8718.96319757621
19861,1060101,106010,BG 1,16786164.3753239,21308.530083836
19862,1060102,106010,BG 2,10312451.5794276,14785.4588766422
19863,1060201,106020,BG 1,10271366.7559998,12887.0817380641
19864,1060202,106020,BG 2,6260359.26673525,13982.1232039035
19865,1060203,106020,BG 3,5186597.81376165,9315.34756351001
