Qualifying Name,State Postal Abbreviation,Summary Level,Geographic Component,State (FIPS Code),County of current residence,Census Tract,Block Group,Area Name,Median Household Income (In 2022 Inflation Adjusted Dollars),Average Family Income (In 2022 Inflation Adjusted Dollars),Median Family Income (In 2022 Inflation Adjusted Dollars),Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More"
"Block Group 1, Census Tract 1011.10, Los Angeles County, California",ca,150,00,06,037,101110,1,Block Group 1,60545,90481.7663817664,67852,574,33,66,0,45,0,44,19,28,23,12,153,9,24,58,29,31
"Block Group 2, Census Tract 1011.10, Los Angeles County, California",ca,150,00,06,037,101110,2,Block Group 2,102572,112602.156862745,96574,653,23,20,33,0,11,0,0,28,73,40,46,51,115,64,43,106
"Block Group 3, Census Tract 1011.10, Los Angeles County, California",ca,150,00,06,037,101110,3,Block Group 3,94375,112693.536121673,105573,324,11,10,0,27,0,34,0,0,0,22,22,42,43,22,51,40
"Block Group 1, Census Tract 1011.22, Los Angeles County, California",ca,150,00,06,037,101122,1,Block Group 1,145865,170927.866473149,147933,830,84,0,0,0,0,29,0,4,10,14,31,126,84,128,142,178
"Block Group 2, Census Tract 1011.22, Los Angeles County, California",ca,150,00,06,037,101122,2,Block Group 2,83558,151321.6,126625,553,0,0,7,44,20,0,0,0,0,17,177,47,18,53,62,108
"Block Group 1, Census Tract 1012.20, Los Angeles County, California",ca,150,00,06,037,101220,1,Block Group 1,78571,156756.687898089,98533,466,50,20,9,40,0,5,6,27,16,18,39,90,14,29,12,91
"Block Group 2, Census Tract 1012.20, Los Angeles County, California",ca,150,00,06,037,101220,2,Block Group 2,64439,87525.3787878788,64712,883,35,41,0,51,24,19,65,12,44,63,170,82,29,80,118,50
"Block Group 1, Census Tract 1012.21, Los Angeles County, California",ca,150,00,06,037,101221,1,Block Group 1,61364,81039.0243902439,67115,402,0,7,26,11,0,7,0,77,22,39,49,18,49,38,8,51
"Block Group 2, Census Tract 1012.21, Los Angeles County, California",ca,150,00,06,037,101221,2,Block Group 2,49651,74774.1741741742,61944,1022,84,83,33,125,26,100,9,14,43,106,46,132,91,27,103,0
"Block Group 1, Census Tract 1012.22, Los Angeles County, California",ca,150,00,06,037,101222,1,Block Group 1,36779,81260.7594936709,50000,928,68,182,60,29,33,55,52,19,27,23,23,107,26,137,35,52
