Block group id,OBJECTID,EnviroAtlas Community Code,Value of hospital admissions avoided due to nitrogen dioxide removed ($/yr),Asthma exacerbation avoided due to nitrogen dioxide removed (cases/yr),Value of asthma exacerbation cases avoided due to nitrogen dioxide removed ($/yr),Acute respiratory symptoms avoided due to ozone removed (cases/yr),Value of mortality avoided due to ozone removed ($/yr),Acute respiratory symptoms avoided due to particulate matter [PM2.5] removed (cases/yr),Value of mortality avoided due to particulate matter [PM2.5] removed ($/yr),Asthma exacerbation avoided due to sulfur dioxide removed (cases/yr),Value of asthma exacerbation cases avoided due to sulfur dioxide removed ($/yr),Value of hospital admissions avoided due to sulfur dioxide removed ($/yr),Total Population,Population under 1 year old,Percent population under 1 year old,Population under 13 years old,Percent population under 13 years old,Population over 70 years old,Percent population over 70 years old,"Population other than White, non-Hispanic","Percent population other than White, non-Hispanic",Population with income below twice the US poverty level,Percent population with income below twice the US poverty level,Total carbon stored (kg),Total carbon sequestered (kg/yr),Value of carbon stored ($),Value of carbon sequestered ($/yr),Average reduction in nighttime ambient temperature (Celsius),Average reduction in daytime ambient temperature (Celsius),Carbon monoxide (kg/yr),Nitrogen dioxide (kg/yr),Ozone (kg/yr),Particulate matter [PM2.5] (kg/yr),Sulfur dioxide (kg/yr),Particulate matter [PM10] (kg/yr),"Value of health, ecosystem, and materials damage avoided due to particulate matter [PM10] removed ($/yr)","Value of health, ecosystem, and materials damage avoided due to carbon monoxide removed ($/yr)",Percent annual reduction in streamflow,Reduction in annual runoff (m3/yr),Reduction in median load of total suspended solids [TSS] (kg/yr),Reduction in median biochemical oxygen demand [BOD5] (kg/yr),Reduction in median chemical oxygen demand [COD] (kg/yr),Reduction in median load of total phosphorus (kg/yr),Reduction in mean chemical oxygen demand [COD] (kg/yr),Reduction in mean load of nitrites and nitrates (kg/yr),Total carbon stored (mt),Total carbon sequestered by tree cover (mt/yr),Percent tree cover,Percent impervious area,Percent green space,Percent wetlands,Tree cover per capita (m2/person),Impervious area per capita (m2/person),Green space per capita (m2/person),Total land area in 15m buffer (m2).1,Percent vegetated cover in 15m buffer.1,Residential population within 300m of busy roadway with < 25 percent tree buffer,Residential population within 300m of busy roadway with > 25 percent tree buffer,Residential population within 300m of busy roadway,Percent of residential population within 300m of busy roadway,Percent of busy roadway bordered by > 25 percent tree buffer,Percent of busy roadway bordered by < 25 percent tree buffer,Residential population within 500m of a park entrance,Residential population not within 500m of a park entrance,Percent of residential population within 500m of a park entrance,Percent of residential population not within 500m of a park entrance,Percent carbon monoxide removed annually by tree cover,Percent nitrogen dioxide removed annually by tree cover,Percent ozone removed annually by tree cover,Percent particulate matter [PM10] removed annually by tree cover,Percent particulate matter [PM2.5] removed annually by tree cover,Percent sulfur dioxide removed annually by tree cover,Daily domestic use (x1000 gal/day),bgrp,EnviroAtlas Community Name,State FIPS,County FIPS,Tract FIPS,ORIG_FID
060371837022,40916,LACA,163.22,3.18,265.63,2.24,5829.69,0.33,6041.53,0.04,2.84,4.73,1420,19,1.34,250,17.61,117,8.24,1265,89.08,729,38.76,982328.29,49691.25,77112.77,3900.76,0.49,0.55,27.68,318.31,588.4,11.98,14.8,672.48,4772.49,41.79,0.62,504.43,27.49,5.8,22.55,0.13,26.63,0.33,982.33,49.69,28.76,45.17,45.14,0.39,90,141,141,0,-99999.0,1160,183,1343,94.58,46.64,53.36,332,1088,23.38,76.62,0.0,0.29,0.38,0.98,0.02,0.2,105.08,60371837022,"Los Angeles, CA",6,37,183702,40856
060371838201,40919,LACA,126.27,4.55,381.0,1.9,5440.82,0.28,4645.62,0.05,3.76,4.05,1604,22,1.37,343,21.38,49,3.05,1504,93.77,1350,68.08,268742.43,13594.38,21096.28,1067.16,0.42,0.47,7.57,87.08,160.98,3.31,4.05,183.4,1301.56,11.43,0.59,198.3,10.81,2.28,8.86,0.05,10.47,0.13,268.74,13.59,23.73,59.85,37.58,0.0,22,55,34,0,-99999.0,1254,220,1474,91.9,55.29,44.71,1104,500,68.83,31.17,0.0,0.24,0.31,0.81,0.02,0.16,118.7,60371838201,"Los Angeles, CA",6,37,183820,40859
060371851002,40922,LACA,445.85,8.11,677.25,5.54,14819.45,0.82,16210.48,0.09,7.15,12.58,3311,40,1.21,617,18.63,230,6.95,2717,82.06,1619,45.44,1962787.91,99287.97,154078.85,7794.11,0.54,0.62,55.3,636.05,1175.75,24.28,29.57,1338.4,9498.41,83.5,0.66,949.79,51.76,10.92,42.46,0.25,50.15,0.62,1962.79,99.29,31.34,43.04,48.4,0.0,77,106,119,0,-99999.0,2322,559,2881,87.01,57.82,42.18,2051,1260,61.95,38.05,0.0,0.31,0.41,1.06,0.02,0.21,245.01,60371851002,"Los Angeles, CA",6,37,185100,40862
060371851003,40923,LACA,263.72,4.8,400.59,3.29,8787.18,0.49,9587.17,0.05,4.23,7.44,1358,16,1.18,146,10.75,120,8.84,521,38.37,335,24.91,2369504.32,119861.79,186006.09,9409.15,0.76,0.87,66.76,768.11,1420.97,29.32,35.7,1615.74,11466.61,100.8,0.66,610.28,33.26,7.02,27.28,0.16,32.22,0.4,2369.5,119.86,45.17,25.3,64.01,0.52,227,127,322,0,-99999.0,160,54,214,15.76,0.0,0.0,810,548,59.65,40.35,0.0,0.45,0.59,1.51,0.03,0.31,100.49,60371851003,"Los Angeles, CA",6,37,185100,40863
060371852021,40924,LACA,139.65,3.2,267.16,1.82,4944.45,0.27,5125.79,0.03,2.75,4.06,1127,12,1.06,158,14.02,100,8.87,827,73.38,304,25.63,1507132.34,76238.55,118309.89,5984.73,0.53,0.61,42.47,488.51,902.91,18.82,22.71,1024.31,7269.34,64.11,0.43,352.61,19.22,4.05,15.76,0.09,18.62,0.23,1507.13,76.24,30.67,20.7,45.51,0.02,174,117,258,0,-99999.0,177,71,248,22.01,0.0,0.0,184,943,16.33,83.67,0.0,0.31,0.4,1.03,0.02,0.21,83.4,60371852021,"Los Angeles, CA",6,37,185202,40864
060371852022,40925,LACA,245.25,5.61,469.18,3.21,8704.72,0.48,9001.28,0.06,4.83,7.13,1286,19,1.48,216,16.8,77,5.99,834,64.85,690,56.01,1179307.64,59655.48,92575.65,4682.96,0.79,0.91,33.23,382.3,707.23,14.72,17.77,801.51,5688.15,50.17,0.79,375.75,20.48,4.32,16.8,0.1,19.84,0.25,1179.31,59.66,47.27,30.83,63.74,0.76,119,78,161,0,-99999.0,560,112,672,52.26,70.18,29.82,834,452,64.85,35.15,0.01,0.47,0.62,1.57,0.03,0.32,95.16,60371852022,"Los Angeles, CA",6,37,185202,40865
060371852023,40926,LACA,130.44,2.99,249.54,1.7,4618.31,0.25,4787.73,0.03,2.57,3.79,1299,17,1.31,239,18.4,67,5.16,1162,89.45,904,65.55,462661.16,23403.8,36318.9,1837.2,0.41,0.47,13.04,149.95,277.16,5.78,6.97,314.44,2231.55,19.68,0.55,225.51,12.29,2.59,10.08,0.06,11.91,0.15,462.66,23.4,24.88,41.14,44.67,0.0,46,77,83,0,-99999.0,978,118,1096,84.37,9.03,90.97,1162,137,89.45,10.55,0.0,0.25,0.33,0.84,0.02,0.17,96.13,60371852023,"Los Angeles, CA",6,37,185202,40866
060371852031,40927,LACA,107.65,2.99,250.73,1.44,4075.43,0.22,3859.56,0.03,2.5,3.24,1668,22,1.32,334,20.02,90,5.4,1569,94.06,838,58.6,350125.7,17711.17,27484.87,1390.33,0.29,0.33,9.87,113.48,209.76,4.37,5.28,238.06,1689.47,14.89,0.41,269.32,14.68,3.1,12.04,0.07,14.22,0.18,350.13,17.71,17.1,64.74,32.63,0.0,27,103,52,0,-99999.0,1351,217,1568,94.0,27.82,72.18,1349,319,80.88,19.12,0.0,0.17,0.23,0.58,0.01,0.12,123.43,60371852031,"Los Angeles, CA",6,37,185203,40867
060371852032,40928,LACA,46.9,1.3,109.23,0.63,1775.58,0.09,1681.54,0.01,1.09,1.41,701,12,1.71,145,20.68,44,6.28,664,94.72,350,49.72,136351.39,6897.36,10703.58,541.44,0.3,0.34,3.84,44.19,81.69,1.7,2.05,92.71,657.94,5.8,0.44,107.29,5.85,1.23,4.8,0.03,5.66,0.07,136.35,6.9,17.68,64.87,33.24,0.0,25,93,47,0,-99999.0,626,40,666,95.01,30.37,69.63,437,264,62.34,37.66,0.0,0.18,0.23,0.6,0.01,0.12,51.87,60371852032,"Los Angeles, CA",6,37,185203,40868
060371852033,40929,LACA,76.11,2.12,177.26,1.02,2881.32,0.15,2728.72,0.02,1.76,2.29,831,10,1.2,135,16.25,53,6.38,730,87.85,137,12.89,338160.06,17105.89,26545.56,1342.81,0.41,0.47,9.53,109.6,202.59,4.22,5.1,229.92,1631.73,14.39,0.53,185.58,10.11,2.13,8.3,0.05,9.8,0.12,338.16,17.11,24.24,49.43,42.91,0.0,53,108,94,0,-99999.0,715,87,802,96.51,25.67,74.33,737,94,88.69,11.31,0.0,0.24,0.32,0.82,0.02,0.17,61.49,60371852033,"Los Angeles, CA",6,37,185203,40869
